offset,vaddr,size,region,name_role,sections,status,pct
0x00400,0x01800400,34,заголовок + bootloader,,,не начат,0%
0x00438,0x01800438,146,заголовок + bootloader,,,не начат,0%
0x004e0,0x018004e0,32,заголовок + bootloader,,,не начат,0%
0x00500,0x01800500,116,заголовок + bootloader,,,не начат,0%
0x00592,0x01800592,84,заголовок + bootloader,,,не начат,0%
0x005f8,0x018005f8,68,заголовок + bootloader,,,не начат,0%
0x0063c,0x0180063c,98,заголовок + bootloader,,,не начат,0%
0x0069e,0x0180069e,476,заголовок + bootloader,,,не начат,0%
0x0087a,0x0180087a,80,заголовок + bootloader,,,не начат,0%
0x008f4,0x018008f4,70,заголовок + bootloader,,,не начат,0%
0x0093a,0x0180093a,60,заголовок + bootloader,,,не начат,0%
0x00976,0x01800976,156,заголовок + bootloader,,,не начат,0%
0x00a12,0x01800a12,210,заголовок + bootloader,,,не начат,0%
0x00ae4,0x01800ae4,156,заголовок + bootloader,,,не начат,0%
0x00b80,0x01800b80,30,заголовок + bootloader,,,не начат,0%
0x00b9e,0x01800b9e,44,заголовок + bootloader,,,не начат,0%
0x00bd4,0x01800bd4,52,заголовок + bootloader,,,не начат,0%
0x00c08,0x01800c08,52,заголовок + bootloader,,,не начат,0%
0x00c3c,0x01800c3c,74,заголовок + bootloader,,,не начат,0%
0x00c8c,0x01800c8c,92,заголовок + bootloader,,,не начат,0%
0x00ce8,0x01800ce8,62,заголовок + bootloader,,,не начат,0%
0x00d64,0x01800d64,524,заголовок + bootloader,,,не начат,0%
0x00f70,0x01800f70,492,заголовок + bootloader,,,не начат,0%
0x0115c,0x0180115c,60,заголовок + bootloader,,,не начат,0%
0x01198,0x01801198,20,заголовок + bootloader,,,не начат,0%
0x011ac,0x018011ac,20,заголовок + bootloader,,,не начат,0%
0x011c0,0x018011c0,236,заголовок + bootloader,,,не начат,0%
0x012ac,0x018012ac,174,заголовок + bootloader,,,не начат,0%
0x0135a,0x0180135a,164,заголовок + bootloader,,,не начат,0%
0x013fe,0x018013fe,464,заголовок + bootloader,,,не начат,0%
0x015d0,0x018015d0,562,заголовок + bootloader,,,не начат,0%
0x0189e,0x0180189e,46,заголовок + bootloader,,,не начат,0%
0x018cc,0x018018cc,162,заголовок + bootloader,,,не начат,0%
0x0196e,0x0180196e,34,заголовок + bootloader,,,не начат,0%
0x01990,0x01801990,106,заголовок + bootloader,,,не начат,0%
0x01b2a,0x01801b2a,218,заголовок + bootloader,,,не начат,0%
0x01d34,0x01801d34,28,заголовок + bootloader,,,не начат,0%
0x01d50,0x01801d50,26,заголовок + bootloader,,,не начат,0%
0x01e20,0x01801e20,22,заголовок + bootloader,,,не начат,0%
0x01e38,0x01801e38,60,заголовок + bootloader,,,не начат,0%
0x01e74,0x01801e74,66,заголовок + bootloader,,,не начат,0%
0x01ee0,0x01801ee0,48,заголовок + bootloader,,,не начат,0%
0x01f10,0x01801f10,58,заголовок + bootloader,,,не начат,0%
0x01f4a,0x01801f4a,110,заголовок + bootloader,,,не начат,0%
0x02058,0x01802058,492,заголовок + bootloader,,,не начат,0%
0x0228c,0x0180228c,108,заголовок + bootloader,,,не начат,0%
0x022f8,0x018022f8,144,заголовок + bootloader,,,не начат,0%
0x02388,0x01802388,78,заголовок + bootloader,,,не начат,0%
0x023d8,0x018023d8,20,заголовок + bootloader,,,не начат,0%
0x023f0,0x018023f0,106,заголовок + bootloader,"**CTR length-gate**: r1=кадр, r2=u16[r1+2]=длина. Доп. длины: {5} ∪ [0x12c..0x12e] (контрольный 5Б + data-кадры 300-302Б); остальные → return 0. Гейт: валидная длина → callee (0x2e24 для len==5, 0x2388/0x2e1a для data) — полная валидация = гейт+содержимое",§64,частично,50%
0x0245a,0x0180245a,70,заголовок + bootloader,"**DFU event dispatcher**: арг (r1=тип события, r3=подсост). type==4&&[r3]==1 или type==2 → таймер: [base+0x1c0]×0x3e8(1000) → bl 0x2df2; type==4&&[r3]==3 → bl 0x2e2e. Управляет dfuPacketWaitTimer",§64,частично,50%
0x024a4,0x018024a4,42,заголовок + bootloader,,,не начат,0%
0x0256c,0x0180256c,300,заголовок + bootloader,,,не начат,0%
0x02698,0x01802698,110,заголовок + bootloader,,,не начат,0%
0x02706,0x01802706,78,заголовок + bootloader,,,не начат,0%
0x02754,0x01802754,46,заголовок + bootloader,,,не начат,0%
0x02782,0x01802782,84,заголовок + bootloader,,,не начат,0%
0x027d6,0x018027d6,504,заголовок + bootloader,,,не начат,0%
0x06008,0x01806008,44,flash-драйвер / OTA-код,**setter config-struct**: хранит arg в 3 поля [base+0/+4/+8] + callback (blx). Семья 0x6008..0x60e4 (6×44Б) — setter'ы для разных групп полей; r0=arg,§65,частично,50%
0x06034,0x01806034,44,flash-драйвер / OTA-код,,,не начат,0%
0x06060,0x01806060,44,flash-драйвер / OTA-код,,,не начат,0%
0x0608c,0x0180608c,44,flash-драйвер / OTA-код,,,не начат,0%
0x060b8,0x018060b8,44,flash-драйвер / OTA-код,,,не начат,0%
0x060e4,0x018060e4,44,flash-драйвер / OTA-код,,,не начат,0%
0x06110,0x01806110,16,flash-драйвер / OTA-код,"**SPIC base getter/init**: возвращает SPIC base (0x40080000), трогает ctrlr0",§64,ID,25%
0x06120,0x01806120,118,flash-драйвер / OTA-код,,,не начат,0%
0x061a2,0x018061a2,38,flash-драйвер / OTA-код,,,не начат,0%
0x061c8,0x018061c8,112,flash-драйвер / OTA-код,,,не начат,0%
0x06272,0x01806272,64,flash-драйвер / OTA-код,,,не начат,0%
0x062ce,0x018062ce,194,flash-драйвер / OTA-код,,,не начат,0%
0x063a4,0x018063a4,46,flash-драйвер / OTA-код,"**SPIC config**: [base+8]=0 → bl 0x639a → [base+8]=1; затем read-modify-write [r0+0x300] (SPIC-регистр, bic #0xff | byte); r0=PERIPH base",§63,частично,50%
0x063d2,0x018063d2,136,flash-драйвер / OTA-код,,,не начат,0%
0x0645e,0x0180645e,272,flash-драйвер / OTA-код,"**memory init/copy**: 22 RAM-writes, r0=RAM-указатель (0x2007fbb8); читает u16[base+8]; инициализация буфера/структуры",§63,ID,25%
0x06570,0x01806570,126,flash-драйвер / OTA-код,**SPIC ctrl setup**: настраивает ctrlr0 (126Б),§64,ID,25%
0x065f6,0x018065f6,192,flash-драйвер / OTA-код,,,не начат,0%
0x066b6,0x018066b6,56,flash-драйвер / OTA-код,,,не начат,0%
0x066ee,0x018066ee,90,flash-драйвер / OTA-код,,,не начат,0%
0x06748,0x01806748,18,flash-драйвер / OTA-код,,,не начат,0%
0x067a8,0x018067a8,74,flash-драйвер / OTA-код,,,не начат,0%
0x067f2,0x018067f2,184,flash-драйвер / OTA-код,,,не начат,0%
0x068aa,0x018068aa,210,flash-драйвер / OTA-код,,,не начат,0%
0x0697c,0x0180697c,150,flash-драйвер / OTA-код,,,не начат,0%
0x06a12,0x01806a12,170,flash-драйвер / OTA-код,"**SPIC op → RAM buffer**: ctrlr0, r0=RAM-указатель (0x2007fbe0); flash-операция с буфером (170Б)",§64,ID,25%
0x06abc,0x01806abc,42,flash-драйвер / OTA-код,,,не начат,0%
0x06ae6,0x01806ae6,548,flash-драйвер / OTA-код,,,не начат,0%
0x06d0a,0x01806d0a,12,flash-драйвер / OTA-код,,,не начат,0%
0x06d16,0x01806d16,180,flash-драйвер / OTA-код,,,не начат,0%
0x06dca,0x01806dca,144,flash-драйвер / OTA-код,,,не начат,0%
0x06e5a,0x01806e5a,140,flash-драйвер / OTA-код,,,не начат,0%
0x06ee6,0x01806ee6,66,flash-драйвер / OTA-код,,,не начат,0%
0x06f28,0x01806f28,280,flash-драйвер / OTA-код,,,не начат,0%
0x07040,0x01807040,30,flash-драйвер / OTA-код,,,не начат,0%
0x07060,0x01807060,48,flash-драйвер / OTA-код,,,не начат,0%
0x07092,0x01807092,24,flash-драйвер / OTA-код,,,не начат,0%
0x070f0,0x018070f0,246,flash-драйвер / OTA-код,,,не начат,0%
0x071e6,0x018071e6,60,flash-драйвер / OTA-код,,,не начат,0%
0x07222,0x01807222,94,flash-драйвер / OTA-код,,,не начат,0%
0x07280,0x01807280,168,flash-драйвер / OTA-код,,,не начат,0%
0x07328,0x01807328,436,flash-драйвер / OTA-код,,,не начат,0%
0x074de,0x018074de,64,flash-драйвер / OTA-код,,,не начат,0%
0x0758c,0x0180758c,152,flash-драйвер / OTA-код,,,не начат,0%
0x07634,0x01807634,168,flash-драйвер / OTA-код,,,не начат,0%
0x076dc,0x018076dc,146,flash-драйвер / OTA-код,,,не начат,0%
0x0778c,0x0180778c,132,flash-драйвер / OTA-код,,,не начат,0%
0x07810,0x01807810,54,flash-драйвер / OTA-код,,,не начат,0%
0x07848,0x01807848,34,flash-драйвер / OTA-код,,,не начат,0%
0x078bc,0x018078bc,68,flash-драйвер / OTA-код,,,не начат,0%
0x07900,0x01807900,142,flash-драйвер / OTA-код,,,не начат,0%
0x0798e,0x0180798e,122,flash-драйвер / OTA-код,,,не начат,0%
0x07a08,0x01807a08,110,flash-драйвер / OTA-код,"**SPIC ctrl op**: ctrlr0, r0=0xffc00000 (110Б)",§64,ID,25%
0x07ac0,0x01807ac0,272,flash-драйвер / OTA-код,,,не начат,0%
0x07c24,0x01807c24,10,flash-драйвер / OTA-код,,,не начат,0%
0x07c64,0x01807c64,24,flash-драйвер / OTA-код,,,не начат,0%
0x07c7c,0x01807c7c,42,flash-драйвер / OTA-код,,,не начат,0%
0x07d0c,0x01807d0c,64,flash-драйвер / OTA-код,,,не начат,0%
0x07d4c,0x01807d4c,112,flash-драйвер / OTA-код,,,не начат,0%
0x07dc0,0x01807dc0,42,flash-драйвер / OTA-код,,,не начат,0%
0x07dea,0x01807dea,990,flash-драйвер / OTA-код,,,не начат,0%
0x081c8,0x018081c8,62,flash-драйвер / OTA-код,,,не начат,0%
0x08206,0x01808206,70,flash-драйвер / OTA-код,,,не начат,0%
0x0824c,0x0180824c,96,flash-драйвер / OTA-код,,,не начат,0%
0x082ac,0x018082ac,204,flash-драйвер / OTA-код,,,не начат,0%
0x08378,0x01808378,26,flash-драйвер / OTA-код,,,не начат,0%
0x08408,0x01808408,88,flash-драйвер / OTA-код,,,не начат,0%
0x08468,0x01808468,26,flash-драйвер / OTA-код,,,не начат,0%
0x0848e,0x0180848e,72,flash-драйвер / OTA-код,,,не начат,0%
0x084f4,0x018084f4,70,flash-драйвер / OTA-код,,,не начат,0%
0x08588,0x01808588,846,flash-драйвер / OTA-код,,,не начат,0%
0x088d6,0x018088d6,164,flash-драйвер / OTA-код,,,не начат,0%
0x089c6,0x018089c6,172,flash-драйвер / OTA-код,,,не начат,0%
0x08a72,0x01808a72,250,flash-драйвер / OTA-код,,,не начат,0%
0x08b6c,0x01808b6c,68,flash-драйвер / OTA-код,,,не начат,0%
0x08bb6,0x01808bb6,68,flash-драйвер / OTA-код,,,не начат,0%
0x08bfa,0x01808bfa,126,flash-драйвер / OTA-код,,,не начат,0%
0x08c78,0x01808c78,70,flash-драйвер / OTA-код,,,не начат,0%
0x08cbe,0x01808cbe,102,flash-драйвер / OTA-код,,,не начат,0%
0x08d24,0x01808d24,124,flash-драйвер / OTA-код,,,не начат,0%
0x08da0,0x01808da0,130,flash-драйвер / OTA-код,,,не начат,0%
0x08e5c,0x01808e5c,90,flash-драйвер / OTA-код,,,не начат,0%
0x08eb6,0x01808eb6,172,flash-драйвер / OTA-код,,,не начат,0%
0x08f62,0x01808f62,258,flash-драйвер / OTA-код,,,не начат,0%
0x09098,0x01809098,80,flash-драйвер / OTA-код,,,не начат,0%
0x090e8,0x018090e8,34,flash-драйвер / OTA-код,,,не начат,0%
0x0910a,0x0180910a,84,flash-драйвер / OTA-код,,,не начат,0%
0x0915e,0x0180915e,40,flash-драйвер / OTA-код,,,не начат,0%
0x09186,0x01809186,28,flash-драйвер / OTA-код,,,не начат,0%
0x091a2,0x018091a2,86,flash-драйвер / OTA-код,,,не начат,0%
0x09210,0x01809210,74,flash-драйвер / OTA-код,,,не начат,0%
0x092a2,0x018092a2,42,flash-драйвер / OTA-код,,,не начат,0%
0x092cc,0x018092cc,104,flash-драйвер / OTA-код,,,не начат,0%
0x093a0,0x018093a0,102,flash-драйвер / OTA-код,,,не начат,0%
0x09480,0x01809480,132,flash-драйвер / OTA-код,,,не начат,0%
0x09504,0x01809504,118,flash-драйвер / OTA-код,,,не начат,0%
0x09592,0x01809592,26,flash-драйвер / OTA-код,,,не начат,0%
0x095ac,0x018095ac,206,flash-драйвер / OTA-код,,,не начат,0%
0x0967a,0x0180967a,64,flash-драйвер / OTA-код,,,не начат,0%
0x096ba,0x018096ba,58,flash-драйвер / OTA-код,,,не начат,0%
0x096f4,0x018096f4,398,flash-драйвер / OTA-код,,,не начат,0%
0x09882,0x01809882,82,flash-драйвер / OTA-код,,,не начат,0%
0x098d4,0x018098d4,292,flash-драйвер / OTA-код,,,не начат,0%
0x099f8,0x018099f8,170,flash-драйвер / OTA-код,,,не начат,0%
0x09b60,0x01809b60,74,flash-драйвер / OTA-код,,,не начат,0%
0x09baa,0x01809baa,66,flash-драйвер / OTA-код,,,не начат,0%
0x09bec,0x01809bec,190,flash-драйвер / OTA-код,,,не начат,0%
0x09caa,0x01809caa,150,flash-драйвер / OTA-код,,,не начат,0%
0x09d40,0x01809d40,142,flash-драйвер / OTA-код,,,не начат,0%
0x09dce,0x01809dce,250,flash-драйвер / OTA-код,,,не начат,0%
0x09ec8,0x01809ec8,132,flash-драйвер / OTA-код,,,не начат,0%
0x09f4c,0x01809f4c,52,flash-драйвер / OTA-код,,,не начат,0%
0x09f80,0x01809f80,488,flash-драйвер / OTA-код,"**init global struct**: возвращает 4, обнуляет фикс. struct @RAM 0x2007fbe8 (leaf, аргументы игнорирует)",§65,ID,25%
