offset,size,region,name_role,sections,status,pct
0x01218,34,код A,"abs(r0) → 0x12aa(0, 0, 0x433)",§49,разобран,100%
0x0123e,46,код A,"**u64 масштаб 2^(r2-0x433)**: r1' = (r1&0xFFFFF)|0x100000; r2 < 0x3FF → {r1', 0} (сентинел); [0x3FF..0x433] → u64lsr({r1':r0}, 0x433-r2) через 0x126c; > 0x433 → {r1', r0 << (r2-0x433)}; прямых callers нет",§49/§50.6,разобран,100%
0x0126c,32,код A,**u64 LSR**: (r1:r0) >> r2 — логический сдвиг вправо (количество в r2); вызов из 0x123e,§49/§50.6,разобран,100%
0x0128c,30,код A,u64 add (r0:r1 + r2:r3),§49,разобран,100%
0x012aa,156,код A,,,не начат,0%
0x01346,322,код A,,,не начат,0%
0x01494,48,код A,"**сравнение g(a) vs g(b)**: a={r1:r0}, b={r3:r2}; g(x)=x при bit63(x)=1, иначе 2^63-x; флаги = cmp старших слов (+cmpeq младших при равенстве). Для бит-паттернов IEEE-double это сравнение в порядке, обратном числовому (bhs ⇔ a≤b); callers: float-код 0x16040 (§50.7)",§49/§50.7,разобран,100%
0x0152a,86,код A,"**RLE-декодер**: count [2:0] (или байт), бит4 → literal/backward-copy; return 0",§50,разобран,100%
0x01580,26,код A,RCC-расширенный инициал: r5==0 → 0xc490(0x100)+0xc478(r4); иначе 0xc4b0/0xc4c8,§49,разобран,100%
0x015aa,198,код A,,,не начат,0%
0x01670,86,код A,"**DMA1 ch1 init (ADC)**: struct {0x4002084C, &u16@0xB7E, ..., 0x80, 0x100, 0x400, 0x20} → 0x4f70(DMA1); 0x4fac; 0x4f38; вызов из 0x175c (DMA enable)",§50,разобран,100%
0x016d4,42,код A,**DMA1 reset**: 0x1940(); DMA on; цикл i<2: 0x4e50(0x40020030); byte@0xB82=0,§49,разобран,100%
0x0170c,68,код A,**медиан-фильтр**: 7 u16 из @0xB7E → sort (0x506a) → среднее средних 3 (0x5044) → u16@0xB84; вызов из ADC-цепи 0x3780/0x8b10,§50,разобран,100%
0x0175c,42,код A,"**DMA1 enable**: 0x1940(); цикл i<2: 0x1858(i) (рег. обработчика), 0x1670(), 0x18fc(i) (конфиг канала); byte@0xB82=1",§49,разобран,100%
0x0178c,98,код A,DMA1 wait: enable (0x182a/0x1814); poll 0x189e(0x20) до 0x1388; 0x1974; poll 0x1884 до 0x3E8; 0x1840(1),§50,разобран,100%
0x017f4,28,код A,DMA clock OFF: base==0x40020800 → RCC+0x28 &= ~0x1000 (бит12 = base>>18); иначе нетто,§49/§50.7.3,разобран,100%
0x01858,40,код A,регистратор обработчика: запись в таблицу @0x1A8D0 (индекс r0),§49,разобран,100%
0x018b0,66,код A,"**DMA1-канал**: строит регистры канала из cfg-структуры (+4/+8/+0x2C, маски 0xFFF0FEFF/0xFFF1F7FD)",§50,разобран,100%
0x018fc,60,код A,"**DMA1-канал**: struct {1,1,0xE0000,0,2} → 0x18b0(DMA1); таблица @0x1A8D0 (шаг 8) + 0x15aa",§49,разобран,100%
0x01940,52,код A,"**RCC-инициал расширенных регистров**: AWDCR|=1, BDCR|=0xE|0x1000, 0x1580(2,0)",§49,разобран,100%
0x01984,102,код A,напряжение-хендлер: 0x87ec(); toggle bit3(@0xA72); счётчик @0xA74 (кап 3); если !bit3 → 0x8b58+0x8b10 (ADC→мВ),§50,разобран,100%
